"code","iso","country","FSS.raw.1950","FSS.raw.1951","FSS.raw.1952","FSS.raw.1953","FSS.raw.1954","FSS.raw.1955","FSS.raw.1956","FSS.raw.1957","FSS.raw.1958","FSS.raw.1959","FSS.raw.1960","FSS.raw.1961","FSS.raw.1962","FSS.raw.1963","FSS.raw.1964","FSS.raw.1965","FSS.raw.1966","FSS.raw.1967","FSS.raw.1968","FSS.raw.1969","FSS.raw.1970","FSS.raw.1971","FSS.raw.1972","FSS.raw.1973","FSS.raw.1974","FSS.raw.1975","FSS.raw.1976","FSS.raw.1977","FSS.raw.1978","FSS.raw.1979","FSS.raw.1980","FSS.raw.1981","FSS.raw.1982","FSS.raw.1983","FSS.raw.1984","FSS.raw.1985","FSS.raw.1986","FSS.raw.1987","FSS.raw.1988","FSS.raw.1989","FSS.raw.1990","FSS.raw.1991","FSS.raw.1992","FSS.raw.1993","FSS.raw.1994","FSS.raw.1995","FSS.raw.1996","FSS.raw.1997","FSS.raw.1998","FSS.raw.1999","FSS.raw.2000","FSS.raw.2001","FSS.raw.2002","FSS.raw.2003","FSS.raw.2004","FSS.raw.2005","FSS.raw.2006","FSS.raw.2007","FSS.raw.2008","FSS.raw.2009","FSS.raw.2010","FSS.raw.2011","FSS.raw.2012","FSS.raw.2013","FSS.raw.2014","FSS.raw.2015","FSS.raw.2016","FSS.raw.2017","FSS.raw.2018"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0266,0.0354,0.0276,0.0058,0.0085,0.0065,0.0026,1e-04,1e-04,1e-04,2e-04,NA,2e-04,NA,9e-04,NA,0.05,NA,NA,NA,NA,0.0541,0.0841,0.0582,0.0312,0.0142,0.0189,0.0215,0.0195,0.0167,0.0144,0.0144,0.0143,0.0171,0.0172,0.0167,0.0155,0.0145,0.0155,0.0154,0.0165,0.0127,0.0099,0.0075,0.0096,0.0221,0.0784,0.2213,0.3643,0.3521,0.2452,0.1369,0.2161,0.2297,0.2539,0.1959
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,0.0258,0.0205,0.0173,0.0211,0.0224,0.0327,0.0308,0.0438,0.0513,0.052,0.0554,0.0543,0.0614,0.0478,0.0403,0.0248,0.0237,0.0225,0.035,0.1101,0.2087,0.3008,0.3,0.2807,0.3684,0.3992,0.4165,0.3832,0.4085,0.3424,0.2871,0.1294,0.0753,0.0483,0.0323,0.0499,0.0544,0.0684,0.0468,0.0481,0.1369,0.2312,0.3155,0.2565,0.2043,0.1852,0.1634,0.1336,0.1068,0.0875,0.0832,0.0573,0.0483,0.0549,0.081,0.0984,0.1013,0.1173,0.1247,0.1209,0.1335,0.131,0.1423,0.1148,0.1152
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0387,0.0693,0.0346,0.1053,0.0306,0.0242,0.0703,0.0623,0.0308,0.0211,0.1153,0.1707,0.2275,0.2251,0.203,0.198,0.1618,0.135,NA,NA,NA,0.184,0.5406,0.5721,0.5558,0.5046,0.4769,0.4751,0.4424,0.0122,0.011,0.208,0.004,0.5171,0.5381,0.1848,0.1309,0.1344,0.1439,0.1311,0.145,0.2313,0.302,0.3158,0.1435,0.1238,0.222,0.3008,0.3727,0.2501,0.2468,0.2066
32,"ARG","Argentina",NA,NA,NA,NA,0.0045,NA,NA,0.0046,0.0043,0.014,0.0234,0.0271,0.0232,0.013,0.0095,0.0054,0.0445,0.0418,0.0612,0.0618,0.0809,0.0763,0.0555,0.0482,0.061,0.0776,0.0642,0.0455,0.0346,0.0445,0.0539,0.072,0.091,0.1099,0.1112,0.1097,0.0814,0.067,0.0461,0.0486,0.0362,0.0396,0.0342,0.0381,0.027,0.0194,0.0158,0.0186,0.0389,0.1465,0.2728,0.2847,0.3148,0.2076,0.2024,0.0588,0.1465,0.1192,0.2196,0.2329,0.4157,0.4861,0.5109,0.4847,0.4025,0.4333,0.5047,0.6205,0.6099
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",NA,NA,NA,NA,NA,0.020995173,0.027289179,NA,0.02505097,0.024580828,0.018056875,0.022235583,0.02796369,0.032049486,0.033387773,0.001692204,0.024408555,0.017372352,0.016122749,0.015739528,0.018081995,0.016379752,0.017847416,0.017211893,0.051996141,0.052534258,0.051180066,0.051244985,0.046788732,0.070283474,0.043160053,0.038832181,0.021896271,0.022703021,0.027084104,0.042048317,0.04104959,0.047087006,0.037886697,0.048059227,0.04329623,0.073775012,0.101997571,0.165443437,0.167661417,0.167600116,0.149128081,0.143731956,0.149750167,0.166923767,0.168218932,0.216403698,0.25750263,0.324605327,0.326145298,0.331846596,0.349663626,0.374178887,0.400783526,0.399615049,0.403536062,0.403665541,0.445859078,0.468520834,0.477703176,0.430225697,0.401232616,0.379511795,0.387797332
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0134,0.017,0.0142,0.0102,0.0158,0.043,0.1014,0.1026,0.1098,0.0533,0.0532,0.0109,0.0109,0.0114,0.0112,0.012,0.0124,0.0117,0.0787,0.1468,0.252,0.2366,0.2607,0.2693,0.2752,0.2706,0.2635,0.1978,0.1146,0.0365,0.0412,0.0446,0.0541,0.0564,0.1069,0.0931,0.0849,0.0393,0.0441,0.1538,0.2203,0.3044,0.2258,0.2236,0.2181,0.2325,0.248,0.2679,0.3384,0.3408,0.3555,0.3091
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-04,5e-04,4e-04,1e-04,4e-04,6e-04,6e-04,4e-04,1e-04,1e-04,5e-04,8e-04,9e-04,0.0017,0.0028,0.0041,0.0044,0.0045,0.0048,0.0074,0.0086,0.0124,0.0109,0.013,0.0108,0.0106,0.0216,0.0294,0.0372,0.0322,0.0323
