code,iso,country,CXN.raw.1970,CXN.raw.1975,CXN.raw.1980,CXN.raw.1985,CXN.raw.1989,CXN.raw.1990,CXN.raw.1991,CXN.raw.1992,CXN.raw.1993,CXN.raw.1994,CXN.raw.1995,CXN.raw.1996,CXN.raw.1997,CXN.raw.1998,CXN.raw.1999,CXN.raw.2000,CXN.raw.2001,CXN.raw.2002,CXN.raw.2003,CXN.raw.2004,CXN.raw.2005,CXN.raw.2006,CXN.raw.2007,CXN.raw.2008,CXN.raw.2009,CXN.raw.2010,CXN.raw.2011,CXN.raw.2012,CXN.raw.2013,CXN.raw.2014,CXN.raw.2015,CXN.raw.2016,CXN.raw.2017,CXN.raw.2018,CXN.raw.2019
4,AFG,Afghanistan,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,ALB,Albania,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008,0.008,0.056,0.073,0.073,-9999,-9999,0.22,-9999,0.21,0.19,0.16,0.17,-9999,-9999
12,DZA,Algeria,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3,0.3,0.32,0.32,0.39,0.39,0.45,0.48,0.53,0.56,0.6,0.61,0.65,0.65,0.65,0.65,0.68,0.72,-9999,-9999
20,AND,Andorra,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.037,0.036,0.035,0.171,0.196,0.311,0.477,0.864,0.98,0.98,0.98,0.98,1,1,1,1,1,-9999,-9999,-9999,-9999
24,AGO,Angola,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.178,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
660,AIA,Anguilla,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,ATG,Antigua and Barbuda,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32,ARG,Argentina,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
51,ARM,Armenia,-9999,-9999,-9999,-9999,-9999,0.639,-9999,-9999,-9999,-9999,0.33,0.33,0.332,0.332,0.334,0.334,0.333,0.315,0.323,0.332,0.352,0.359,0.365,0.365,0.38,0.382,0.386,0.378,0.371,0.371,0.38,0.381,0.383,-9999,-9999
533,ABW,Aruba,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,AUS,Australia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.928,0.938,0.941,0.941,0.926,0.924,0.925,0.927,0.926,0.929
